"","iso2c","country","VC.IHR.PSRC.FE.P5","year"
"1","MX","Mexico",6.00808362827274,2020
"2","MX","Mexico",5.97341170465857,2019
"3","MX","Mexico",5.81976446923042,2018
"4","MX","Mexico",5.38015391098838,2017
"5","MX","Mexico",4.46380257583466,2016
"6","MX","Mexico",3.82724678498422,2015
"7","MX","Mexico",3.91600093431099,2014
"8","MX","Mexico",4.36230224916218,2013
"9","MX","Mexico",4.61444723997289,2012
"10","MX","Mexico",4.55775986627231,2011
"11","PE","Peru",NA,2020
"12","PE","Peru",NA,2019
"13","PE","Peru",3.29758814030809,2018
"14","PE","Peru",3.22783513203551,2017
"15","PE","Peru",3.21122644766102,2016
"16","PE","Peru",2.60800838526856,2015
"17","PE","Peru",2.25932954461826,2014
"18","PE","Peru",2.06477430880845,2013
"19","PE","Peru",2.11926065070211,2012
"20","PE","Peru",1.88670172253824,2011
